Location,timestamp,Temperature,Temperature_IoTDeviceID,Humidity,Humidity_IoTDeviceID,InTemperature,InTemperature_IoTDeviceID,GrainTemperature1,GrainTemperature1_IoTDeviceID,GrainTemperature2,GrainTemperature2_IoTDeviceID,GrainTemperature3,GrainTemperature3_IoTDeviceID,
Silo1,2024-04-29 08:00:00,17.8,Temp1,19.5,Humd1,23.8,InTemp1,-14.8,GrainTemp1,-2.3,GrainTemp2,-14.6,GrainTemp3,
Silo1,2024-04-29 09:00:00,0.0,null,0.0,null,0.0,null,-20.2,GrainTemp1,-19.3,GrainTemp2,-24.8,GrainTemp3,
Silo1,2024-04-29 10:00:00,0.0,null,0.0,null,0.0,null,-11.1,GrainTemp1,-8.2,GrainTemp2,10.8,GrainTemp3,
Silo1,2024-04-29 11:00:00,0.0,null,0.0,null,0.0,null,5.2,GrainTemp1,-16.1,GrainTemp2,9.1,GrainTemp3,
Silo1,2024-04-29 12:00:00,0.0,null,0.0,null,0.0,null,12.7,GrainTemp1,-1.7,GrainTemp2,-1.9,GrainTemp3,
Silo1,2024-04-29 13:00:00,0.0,null,0.0,null,0.0,null,-11.7,GrainTemp1,7.4,GrainTemp2,2.3,GrainTemp3,
Silo1,2024-04-29 14:00:00,17.8,Temp1,12.2,Humd1,13.2,InTemp1,-1.7,GrainTemp1,-14.5,GrainTemp2,2.4,GrainTemp3,
Silo1,2024-04-29 15:00:00,0.0,null,0.0,null,0.0,null,7.5,GrainTemp1,-2.7,GrainTemp2,-16.3,GrainTemp3,
Silo1,2024-04-29 16:00:00,0.0,null,0.0,null,0.0,null,5.3,GrainTemp1,1.3,GrainTemp2,13.8,GrainTemp3,
Silo1,2024-04-29 17:00:00,0.0,null,0.0,null,0.0,null,-9.0,GrainTemp1,0.6,GrainTemp2,-78.1,GrainTemp3,
Silo1,2024-04-30 08:00:00,8.7,Temp1,30.7,Humd1,20.7,InTemp1,-4.5,GrainTemp1,-12.8,GrainTemp2,-36.1,GrainTemp3,
Silo1,2024-04-30 09:00:00,0.0,null,0.0,null,0.0,null,-12.2,GrainTemp1,8.0,GrainTemp2,12.0,GrainTemp3,
Silo1,2024-04-30 10:00:00,0.0,null,0.0,null,0.0,null,-0.4,GrainTemp1,-8.2,GrainTemp2,-44.8,GrainTemp3,
Silo1,2024-04-30 11:00:00,0.0,null,0.0,null,0.0,null,11.1,GrainTemp1,-8.0,GrainTemp2,5.5,GrainTemp3,
Silo1,2024-04-30 12:00:00,0.0,null,0.0,null,0.0,null,-11.6,GrainTemp1,-15.0,GrainTemp2,-26.8,GrainTemp3,
Silo1,2024-04-30 13:00:00,0.0,null,0.0,null,0.0,null,-16.8,GrainTemp1,-12.8,GrainTemp2,-23.8,GrainTemp3,
Silo1,2024-04-30 14:00:00,18.5,Temp1,31.6,Humd1,8.7,InTemp1,-7.6,GrainTemp1,1.8,GrainTemp2,-3.8,GrainTemp3,
Silo1,2024-04-30 15:00:00,0.0,null,0.0,null,0.0,null,-1.5,GrainTemp1,-0.6,GrainTemp2,-51.3,GrainTemp3,
Silo1,2024-04-30 16:00:00,0.0,null,0.0,null,0.0,null,-14.1,GrainTemp1,0.6,GrainTemp2,-5.3,GrainTemp3,
Silo1,2024-04-30 17:00:00,0.0,null,0.0,null,0.0,null,13.4,GrainTemp1,-11.3,GrainTemp2,14.0,GrainTemp3,
Silo1,2024-05-01 08:00:00,15.2,Temp1,25.1,Humd1,16.0,InTemp1,1.6,GrainTemp1,-15.5,GrainTemp2,12.1,GrainTemp3,
Silo1,2024-05-01 09:00:00,0.0,null,0.0,null,0.0,null,-2.8,GrainTemp1,-9.4,GrainTemp2,7.8,GrainTemp3,
Silo1,2024-05-01 10:00:00,0.0,null,0.0,null,0.0,null,-10.1,GrainTemp1,-3.7,GrainTemp2,-10.1,GrainTemp3,
